"Card ID","Custom ID","Color","Title","Owner","Deadline","Priority","Column Name","Board Name","Owners","Description","Lane Name","Actual End Date","Last End Date","Last Start Date","Planned Start","Last Comment","Card URL"
"340134","","#00d3ff","[PSCD] - Validar transferência Backup do 06/11/25 depois de RDM: CHG0076426","juliano.cardoso","2025-11-06","Average","Em andamento","SisCorp Recebíveis Master","juliano.cardoso","Verificar se houve a movimentação do backup depois da execução da RDM :","Default Swimlane","","","2025-11-06 11:03:38","","","https://dasa.businessmap.io/ctrl_board/155/cards/340134/details"
"340127","","#00d3ff","[PSCD] Usuário de Serviço para o PSCD \\ PASOE - Urgente","juliano.cardoso","2025-11-06","Average","Em andamento","SisCorp Recebíveis Master","juliano.cardoso","Objetivo: Agenda para alinhamento e definições para conclusão da demanda de Criação de usuário de serviço para o PSCD / PASOE.","Default Swimlane","","","2025-11-06 10:58:56","","","https://dasa.businessmap.io/ctrl_board/155/cards/340127/details"
"340126","","#00d3ff","[PSCD] - Alinhar Testes de API (Auditoria PSCD)","juliano.cardoso","2025-11-06","Average","Em andamento","SisCorp Recebíveis Master","juliano.cardoso","Alinhamento para execução de Scripts para atender demanda de Auditoria

Data de entrega: 06/11/2025 Juliano Ventura Cardoso e Fernando da Silva Invencao

45. Arquivos de instrução e arquivos dos scripts

46. Saídas dos scripts/Testes de API","Default Swimlane","","","2025-11-06 10:56:40","","Conforme conversamos segue os requisitos para executarmos o os scripts na nossa estação :

1 - Validação previa de Redes/Segurança que os scripts são seguros e estão de acordo com as normas da Dasa

2 - Disponibilizar os scripts em formato executável para ambiente Windows tendo em vista que nossas estações são todas Windows 10","https://dasa.businessmap.io/ctrl_board/155/cards/340126/details"
"340124","","#00d3ff","[PSCD] Apresentação Execução de RDM","juliano.cardoso","2025-11-06","Average","Em andamento","SisCorp Recebíveis Master","juliano.cardoso","Elaborar Apresentação do Cab executivo de 06/11/2025","Default Swimlane","","","2025-11-06 10:54:09","","Criado apresentação :
https://dasanet.sharepoint.com/:p:/r/sites/SistemasCorporativosOficial/Documentos%20Compartilhados/Siscorp/2%20Equipe_Receb%C3%ADveis/Defesa%20do%20Cab%20executivo/Defesa_Cab_Executivo_2025_11_06.pptx?d=wfd1964b4110e4246974c1422a96809be&csf=1&web=1&e=LpHpf5","https://dasa.businessmap.io/ctrl_board/155/cards/340124/details"
"339812","","#00d3ff","[PSCD] - Acompanhar Execução de RDM: CHG0076426 - Configuracao IP. Backup - adicao de disco (100GB) e atualizacao do Commvault","juliano.cardoso","2025-11-06","Average","Concluído","SisCorp Recebíveis Master","juliano.cardoso","CHG0076426 - Configuracao IP. Backup - adicao de disco (100GB) e atualizacao do Commvault
Janela: 05/11/2025 22:30:00 06/11/2025 01:00:00

LNXPODPRO01 | 10.122.20.46","Default Swimlane","","2025-11-06 09:01:47","2025-11-06 09:01:40","","Foi executado com sucesso:

[aaOtKLbFd2Gd97JezgQO]","https://dasa.businessmap.io/ctrl_board/155/cards/339812/details"
"339708","","#00d3ff","[PSCD] - Executar RDM","juliano.cardoso","2025-11-05","Average","Concluído","SisCorp Recebíveis Master","juliano.cardoso","[CHG0076721 - PSCD – Entrega de Demandas Homologadas da Sprint – Programas](https://dasadesk.dasa.com.br/nav_to.do?uri=%2Fchange_request.do%3Fsys_id%3D307653ec8789f694868332280cbb3590%26sysparm_domain%3Dnull%26sysparm_domain_scope%3Dnull%26sysparm_record_list%3Drequested_byDYNAMIC90d1921e5f510100a9ad2572f2b477fe%5EORDERBYDESCstart_date%26sysparm_record_row%3D3%26sysparm_record_rows%3D124%26sysparm_view%3D%26sysparm_view_forced%3Dtrue)
Janela 05/11/2025 19:00:00 a 05/11/2025 20:30:00

Assunto:
Aplicar em produção Demandas homologadas durante a Sprint:

[PSCD] - Programa Relatório ESPR007-D41 ""016"" Ajustado
https://dasa.businessmap.io/ctrl_board/155/cards/329360/details/

[PSCD] - Programa Relatório ESPR007-D41 ""016"" Ajustado
https://dasa.businessmap.io/ctrl_board/155/cards/314223/details/

[PSCD] - Permissões processo troca status PR2035
https://dasa.businessmap.io/ctrl_board/155/cards/304370/details/

[PSCD] - Falha no Envio de E-mails com Anexo: Documentos Não Gerados
https://dasa.businessmap.io/ctrl_board/155/cards/315129/details/

-------------------------------------------------------------------------------------------------------------------------------------
Contato plantão: 17-99145-9588 - JULIANO.

Sala Teams:","Default Swimlane","","2025-11-05 20:36:13","2025-11-05 18:33:06","","RDM executada com sucesso.

[4XwCOLYYzjv2TTiNfakH]","https://dasa.businessmap.io/ctrl_board/155/cards/339708/details"
"337860","","#00d3ff","[GMUD] - Abrir RDM Deploy Programas","juliano.cardoso","2025-11-03","Average","Concluído","SisCorp Recebíveis Master","juliano.cardoso","Demandas em Pronto para Publicação.","Default Swimlane","","2025-11-04 09:38:16","2025-11-03 09:42:58","","[CHG0076721 - PSCD – Entrega de Demandas Homologadas da Sprint – Programas (2025-10-16)](https://dasadesk.dasa.com.br/nav_to.do?uri=%2Fchange_request.do%3Fsys_id%3D307653ec8789f694868332280cbb3590%26sysparm_record_list%3Drequested_byDYNAMIC90d1921e5f510100a9ad2572f2b477fe%5EORDERBYDESCstart_date%26sysparm_record_row%3D3%26sysparm_record_rows%3D124%26sysparm_record_target%3Dchange_request%26sysparm_view%3D%26sysparm_view_forced%3Dtrue)","https://dasa.businessmap.io/ctrl_board/155/cards/337860/details"
"336695","","#2666be","[PSCD] -Workflow de Cancelamento - Solicitação de Criação de Grupo AD","juliano.cardoso","2025-11-03","Average","Em Andamento","SisCorp Recebíveis Master","juliano.cardoso","Objetivo: Solicitar criação de grupo no AD para controle de acesso de aplicação do Workflow no PSCD

Criação do grupo para o portal de acesso:

- GG_BR_APL_PSCD_APROV_HML

- GG_BR_APL_PSCD_APROV_PROD

Seguir lista de aprovadores conforme solicitado pela área de negócio:","Default Swimlane","","","2025-10-29 18:13:44","","","https://dasa.businessmap.io/ctrl_board/155/cards/336695/details"
"336487","","#00d3ff","[PSCD] Criar Grupos - GG_BR_APL_PSCD_APROV_HML e GG_BR_APL_PSCD_APROV_PROD","juliano.cardoso","2025-10-29","Average","Em andamento","SisCorp Recebíveis Master","juliano.cardoso","Solicitar criação do grupo para o portal de acesso:

- GG_BR_APL_PSCD_APROV_HML

- GG_BR_APL_PSCD_APROV_PROD

Aprovadores :

- Area de Negocio Processos Recebíveis
- Area de TI (Lino, Alan, Juliano e Daniel)

Negocio:
f35188127857 Larissa Cristina Silva Oliveira Gusmao
f11482054892 Camilo Estefanuto
TI:
f28599206842 - Alan Oliveira Muniz
f21601741812 - Ricardo Lino
f22209249805 - Daniel da Silva Nascimento
f26436305807 - Juliano Ventura Cardoso

https://dasa.businessmap.io/ctrl_board/155/cards/336695/details/","Default Swimlane","","","2025-10-29 09:49:13","","[aN36bLkmOyINM2A07BlH]","https://dasa.businessmap.io/ctrl_board/155/cards/336487/details"
"336442","","#00d3ff","[GMUD] -  Abrir RDM para atividade do DBA nos bancos","juliano.cardoso","2025-10-29","Average","Concluído","SisCorp Recebíveis Master","juliano.cardoso","Para manter o PSCD com performance e estável, será feita uma manutenção preventiva em bancos do sistema.
Janela: 07/11/2025 (sexta), 18:00 as 09/11/2025 (domingo), 23:59
Indisponibilidade:
- Durante a janela de execução haverá indisponibilidade no acesso ao sistema PSCD.
- Todos os processos automáticos serão pausados e após a validação da RDM os dados represados serão processados
Disponibilidade:
- O serviço de consulta de RPS não será afetado pela RDM, ativo durante toda janela.
O que será feito:
- São duas Atividades nas instancias, quem realiza é o DBA Jonivaldo e nós acompanhamos e validamos o ambiente depois da execução:
- Organização interna para melhorar velocidade de consulta (Reindexação).
- Ajuste de estrutura para melhor desempenho e uso de espaço (Reestruturação de áreas).
Instancias/Atividades:

| Instância | Reindexar | Reestrutura
| dacomum | Sim | Não
| daesptiss | Sim | Não
| daprovisao | Não | Sim
| daifprod | Não | Sim
| daesp | Não | Sim","Default Swimlane","","2025-11-04 09:37:38","2025-10-29 09:18:28","","[CHG0076643 - Manutenção de Performance PSCD - Reindexar/Reestruturar Instancias](https://dasadesk.dasa.com.br/nav_to.do?uri=%2Fchange_request.do%3Fsys_id%3Ddf820f6b87747254868332280cbb35e1%26sysparm_record_list%3Drequested_byDYNAMIC90d1921e5f510100a9ad2572f2b477fe%5EORDERBYDESCstart_date%26sysparm_record_row%3D2%26sysparm_record_rows%3D124%26sysparm_record_target%3Dchange_request%26sysparm_view%3D%26sysparm_view_forced%3Dtrue)
[CHG0076697 - PSCD - Reconstrução de Réplicas dos bancos de dados do Sistema - Instancias Rela…](https://dasadesk.dasa.com.br/nav_to.do?uri=%2Fchange_request.do%3Fsys_id%3Db55c3a2487c5b694868332280cbb353b%26sysparm_record_list%3Drequested_byDYNAMIC90d1921e5f510100a9ad2572f2b477fe%5EORDERBYDESCstart_date%26sysparm_record_row%3D1%26sysparm_record_rows%3D124%26sysparm_record_target%3Dchange_request%26sysparm_view%3D%26sysparm_view_forced%3Dtrue)","https://dasa.businessmap.io/ctrl_board/155/cards/336442/details"
